# time  ID  size  fromHost  toHost  TTL  isResponse
12694.0000 M428 875324 n85 n3 300 N 
12720.0000 M429 827866 n19 n39 300 N 
12751.0000 M430 820632 n72 n94 300 N 
12779.0000 M431 725764 n47 n1 300 N 
12812.0000 M432 749271 n41 n29 300 N 
12838.0000 M433 948153 n57 n91 300 N 
12863.0000 M434 630111 n87 n66 300 N 
12897.0000 M435 688917 n51 n96 300 N 
12925.0000 M436 823382 n75 n78 300 N 
12950.0000 M437 846872 n51 n76 300 N 
12979.0000 M438 951493 n3 n28 300 N 
13011.0000 M439 940579 n71 n83 300 N 
13041.0000 M440 758133 n12 n58 300 N 
13074.0000 M441 885723 n88 n72 300 N 
13100.0000 M442 892501 n84 n57 300 N 
13129.0000 M443 559077 n77 n19 300 N 
13158.0000 M444 665073 n0 n69 300 N 
13186.0000 M445 575335 n40 n21 300 N 
13212.0000 M446 617340 n8 n38 300 N 
13244.0000 M447 575021 n59 n65 300 N 
13278.0000 M448 693127 n20 n13 300 N 
13312.0000 M449 783457 n98 n57 300 N 
13339.0000 M450 776711 n83 n2 300 N 
13365.0000 M451 859986 n31 n0 300 N 
13398.0000 M452 898514 n89 n83 300 N 
13424.0000 M453 697421 n97 n66 300 N 
13449.0000 M454 764514 n62 n52 300 N 
13474.0000 M455 788838 n19 n56 300 N 
13507.0000 M456 956880 n65 n21 300 N 
13536.0000 M457 617520 n22 n77 300 N 
13564.0000 M458 804729 n38 n23 300 N 
13589.0000 M459 851360 n74 n73 300 N 
13616.0000 M460 525756 n55 n16 300 N 
13644.0000 M461 806829 n6 n55 300 N 
13672.0000 M462 624731 n10 n24 300 N 
13705.0000 M463 844437 n92 n74 300 N 
13732.0000 M464 703438 n15 n39 300 N 
13757.0000 M465 561040 n96 n6 300 N 
13787.0000 M466 993667 n52 n3 300 N 
13820.0000 M467 790149 n91 n92 300 N 
13846.0000 M468 784519 n36 n23 300 N 
13872.0000 M469 703844 n14 n92 300 N 
13898.0000 M470 809919 n97 n93 300 N 
13927.0000 M471 659448 n96 n48 300 N 
13961.0000 M472 627850 n36 n17 300 N 
13991.0000 M473 615716 n98 n26 300 N 
14017.0000 M474 666274 n93 n79 300 N 
14043.0000 M475 831239 n59 n8 300 N 
14073.0000 M476 925977 n31 n46 300 N 
14100.0000 M477 634521 n42 n58 300 N 
14130.0000 M478 641310 n79 n26 300 N 
14156.0000 M479 755149 n25 n58 300 N 
14181.0000 M480 708887 n34 n59 300 N 
14214.0000 M481 812911 n9 n91 300 N 
14241.0000 M482 642758 n10 n67 300 N 
14272.0000 M483 901893 n9 n95 300 N 
14300.0000 M484 863239 n87 n19 300 N 
14333.0000 M485 974992 n60 n80 300 N 
14367.0000 M486 761773 n69 n51 300 N 
14400.0000 M487 728489 n86 n36 300 N 
14427.0000 M488 556138 n66 n52 300 N 
14454.0000 M489 889318 n92 n67 300 N 
14488.0000 M490 821253 n31 n72 300 N 
14519.0000 M491 740788 n8 n2 300 N 
14549.0000 M492 734563 n25 n20 300 N 
14575.0000 M493 556316 n9 n83 300 N 
14609.0000 M494 515648 n92 n52 300 N 
14640.0000 M495 567072 n62 n17 300 N 
